,traffic-nj511-minutes-route_46_from_fort_lee_to_the_alexander_hamilton_bridge_via_the_lower_level,traffic-nj511-minutes-i-95_from_i-80_to_the_alexander_hamilton_bridge_via_upper_level,traffic-nj511-minutes-route_4_from_fort_lee_to_the_alexander_hamilton_bridge_via_the_lower_level,traffic-nj511-minutes-i-95_from_i-80_to_the_alexander_hamilton_bridge_via_lower_level,traffic-nj511-minutes-route_4_from_fort_lee_to_the_alexander_hamilton_bridge_via_the_upper_level
0,6.0,8.0,6.0,8.0,5.0
1,6.0,8.0,6.0,8.0,5.0
2,6.0,8.0,6.0,8.0,5.0
3,6.0,8.0,6.0,8.0,5.0
4,6.0,7.0,6.0,9.0,5.0
5,6.0,8.0,6.0,8.0,5.0
6,6.0,8.0,6.0,9.0,5.0
7,7.0,8.0,6.0,9.0,5.0
8,7.0,8.0,6.0,9.0,5.0
9,7.0,8.0,6.0,9.0,5.0
10,7.0,8.0,6.0,9.0,5.0
11,7.0,8.0,6.0,9.0,5.0
12,7.0,8.0,6.0,9.0,5.0
13,6.0,8.0,6.0,9.0,5.0
14,7.0,8.0,6.0,9.0,5.0
15,7.0,8.0,6.0,9.0,5.0
16,7.0,10.0,6.0,9.0,7.0
17,7.0,11.0,6.0,10.0,7.0
18,7.0,11.0,6.0,10.0,7.0
19,7.0,10.0,6.0,10.0,7.0
20,7.0,9.0,6.0,9.0,6.0
21,6.0,8.0,6.0,9.0,6.0
22,6.0,8.0,6.0,9.0,5.0
23,6.0,8.0,6.0,9.0,5.0
24,6.0,7.0,5.0,9.0,5.0
25,6.0,8.0,5.0,9.0,5.0
26,6.0,8.0,5.0,8.0,5.0
27,6.0,8.0,5.0,8.0,5.0
28,6.0,8.0,5.0,8.0,5.0
29,6.0,8.0,5.0,8.0,5.0
30,6.0,8.0,6.0,8.0,5.0
31,6.0,8.0,6.0,8.0,5.0
32,6.0,8.0,6.0,8.0,5.0
33,6.0,8.0,6.0,8.0,5.0
34,6.0,8.0,6.0,8.0,5.0
35,6.0,8.0,6.0,8.0,5.0
36,6.0,8.0,6.0,8.0,5.0
37,6.0,8.0,6.0,9.0,5.0
38,6.0,8.0,6.0,9.0,5.0
39,6.0,8.0,6.0,9.0,5.0
40,6.0,8.0,6.0,9.0,5.0
41,6.0,8.0,6.0,9.0,5.0
42,6.0,8.0,6.0,9.0,6.0
43,6.0,8.0,7.0,9.0,6.0
44,7.0,8.0,6.0,10.0,5.0
45,7.0,8.0,6.0,9.0,5.0
46,7.0,8.0,6.0,9.0,5.0
47,7.0,8.0,6.0,10.0,5.0
48,7.0,8.0,7.0,10.0,5.0
49,7.0,8.0,7.0,11.0,5.0
50,8.0,8.0,8.0,10.0,5.0
51,8.0,8.0,8.0,11.0,5.0
52,8.0,8.0,9.0,11.0,5.0
53,9.0,8.0,9.0,12.0,5.0
54,9.0,8.0,9.0,11.0,5.0
55,9.0,8.0,9.0,11.0,5.0
56,9.0,8.0,9.0,12.0,5.0
57,9.0,8.0,9.0,12.0,5.0
58,9.0,8.0,10.0,12.0,5.0
59,10.0,8.0,10.0,13.0,5.0
60,10.0,8.0,9.0,13.0,5.0
61,9.0,8.0,8.0,13.0,5.0
62,9.0,8.0,8.0,12.0,5.0
63,8.0,8.0,8.0,11.0,5.0
64,8.0,8.0,7.0,10.0,5.0
65,7.0,8.0,7.0,10.0,5.0
66,7.0,8.0,6.0,10.0,5.0
67,7.0,8.0,6.0,9.0,5.0
68,6.0,8.0,6.0,9.0,5.0
69,6.0,8.0,6.0,9.0,5.0
70,6.0,8.0,6.0,8.0,6.0
71,6.0,8.0,6.0,9.0,5.0
72,6.0,8.0,6.0,9.0,5.0
73,7.0,8.0,7.0,9.0,5.0
74,7.0,8.0,7.0,9.0,5.0
75,7.0,8.0,7.0,10.0,5.0
76,7.0,8.0,7.0,10.0,5.0
77,7.0,8.0,6.0,9.0,5.0
78,7.0,8.0,6.0,9.0,5.0
79,6.0,8.0,6.0,9.0,5.0
80,6.0,8.0,5.0,9.0,5.0
81,6.0,8.0,5.0,9.0,5.0
82,6.0,7.0,5.0,8.0,5.0
83,6.0,8.0,5.0,8.0,5.0
84,6.0,7.0,5.0,8.0,5.0
85,6.0,7.0,5.0,8.0,5.0
86,5.0,8.0,5.0,8.0,5.0
87,6.0,8.0,5.0,8.0,5.0
88,6.0,8.0,5.0,8.0,5.0
89,6.0,8.0,5.0,8.0,5.0
90,6.0,7.0,5.0,8.0,5.0
91,6.0,7.0,6.0,8.0,5.0
92,6.0,7.0,5.0,8.0,5.0
93,6.0,8.0,5.0,8.0,6.0
94,6.0,9.0,6.0,8.0,6.0
95,6.0,9.0,6.0,9.0,6.0
96,6.0,13.0,6.0,9.0,10.0
97,6.0,13.0,6.0,8.0,10.0
98,6.0,23.0,6.0,8.0,20.0
99,7.0,23.0,6.0,8.0,20.0
100,7.0,23.0,6.0,9.0,20.0
101,7.0,23.0,6.0,9.0,20.0
102,7.0,23.0,7.0,9.0,20.0
103,8.0,23.0,7.0,10.0,20.0
104,8.0,23.0,7.0,10.0,20.0
105,8.0,21.0,10.0,10.0,18.0
106,11.0,21.0,9.0,13.0,18.0
107,9.0,21.0,8.0,12.0,18.0
108,9.0,21.0,8.0,11.0,18.0
109,9.0,18.0,8.0,11.0,16.0
110,8.0,17.0,8.0,10.0,15.0
111,9.0,16.0,7.0,11.0,13.0
112,8.0,15.0,7.0,10.0,12.0
113,7.0,14.0,6.0,9.0,12.0
114,7.0,13.0,7.0,9.0,10.0
115,8.0,12.0,7.0,10.0,9.0
116,8.0,10.0,7.0,10.0,8.0
117,7.0,10.0,7.0,9.0,7.0
118,7.0,9.0,6.0,9.0,7.0
119,6.0,9.0,6.0,8.0,7.0
120,6.0,9.0,6.0,8.0,7.0
121,6.0,9.0,5.0,8.0,6.0
122,6.0,8.0,5.0,8.0,5.0
123,6.0,9.0,5.0,8.0,6.0
124,6.0,9.0,5.0,8.0,6.0
125,6.0,9.0,5.0,8.0,6.0
126,6.0,9.0,5.0,8.0,6.0
127,6.0,10.0,5.0,8.0,7.0
128,6.0,13.0,6.0,8.0,10.0
129,6.0,14.0,6.0,9.0,11.0
130,7.0,14.0,6.0,9.0,11.0
131,7.0,12.0,6.0,9.0,9.0
132,7.0,12.0,6.0,9.0,10.0
133,7.0,12.0,6.0,9.0,9.0
134,7.0,12.0,6.0,9.0,8.0
135,7.0,10.0,6.0,9.0,8.0
136,7.0,10.0,6.0,9.0,7.0
137,7.0,10.0,6.0,9.0,7.0
138,7.0,9.0,6.0,9.0,7.0
139,6.0,9.0,6.0,9.0,6.0
140,6.0,9.0,6.0,8.0,6.0
141,6.0,9.0,6.0,8.0,6.0
142,6.0,10.0,5.0,9.0,6.0
143,6.0,9.0,6.0,9.0,6.0
144,6.0,9.0,6.0,9.0,6.0
145,6.0,9.0,6.0,8.0,6.0
146,6.0,8.0,6.0,8.0,6.0
147,6.0,8.0,6.0,9.0,6.0
148,6.0,8.0,6.0,9.0,6.0
149,6.0,8.0,6.0,9.0,6.0
150,6.0,8.0,6.0,9.0,6.0
151,6.0,9.0,6.0,9.0,6.0
152,6.0,9.0,6.0,8.0,6.0
153,6.0,9.0,6.0,9.0,6.0
154,6.0,9.0,6.0,8.0,6.0
155,6.0,9.0,6.0,9.0,6.0
156,6.0,9.0,6.0,9.0,6.0
157,6.0,9.0,6.0,9.0,6.0
158,6.0,9.0,6.0,9.0,6.0
159,6.0,10.0,6.0,10.0,6.0
160,6.0,9.0,6.0,9.0,6.0
161,6.0,8.0,6.0,9.0,6.0
162,6.0,9.0,6.0,8.0,6.0
163,6.0,9.0,6.0,8.0,6.0
164,6.0,9.0,5.0,8.0,6.0
165,6.0,9.0,6.0,8.0,6.0
166,6.0,8.0,6.0,8.0,6.0
167,6.0,8.0,6.0,9.0,6.0
168,6.0,8.0,6.0,9.0,6.0
169,6.0,10.0,5.0,8.0,7.0
170,6.0,11.0,5.0,8.0,9.0
171,6.0,11.0,5.0,8.0,9.0
